,carat,cut,color,clarity,depth,table,price,lwd
195,0.23,Premium,D,SI1,60.6,61,"Rs. 27,906",3.95 x 3.97 x 2.40
196,0.23,Premium,D,SI1,62.1,56,"Rs. 27,906",3.93 x 3.94 x 2.45
197,0.23,Premium,G,VS2,62.3,58,"Rs. 27,906",3.95x3.92x2.45
198,0.21,Premium,E,VS2,61,58,"Rs. 27,908",3.85x3.87x2.35
199,0.21,Premium,E,VS2,60.2,59,"Rs. 27,908",3.90x3.91x2.35
200,0.2,Premium,F,VVS1,62,57,"Rs. 27,915",3.75x3.77x2.33
201,0.23,Premium,I,VVS2,62.8,57,"Rs. 27,931",3.89x3.92x2.45
202,0.3,Premium,J,SI1,61.4,57,"Rs. 27,936",4.31 x 4.35 x 2.66
203,0.2,Premium,F,VVS2,62.3,58,"Rs. 27,936",3.76x3.73x2.33
204,0.22,Premium,I,VVS2,60.7,61,"Rs. 27,976",3.88x3.90x2.36
205,0.23,Premium,J,VVS1,62.2,58,"Rs. 28,053",3.91 x 3.92 x 2.43
206,0.2,Premium,G,IF,61.2,59,"Rs. 28,063",3.83x3.8x2.33
